"Nombre","Tipo de identificación","Identificación","Condición de IVA","Teléfono 1","Teléfono 2","Fax","Celular","Provincia","Localidad","Código postal","Domicilio fiscal","Correo"
"LAS COLONIAS  DISTRIBUCIONES S. A.","CUIT","30-54093832-2","IVA responsable inscripto",,,,,"Santa Fe","Santa fe","3000","E ZEBALLOS 3708","rrugna@armlascolonias.com.ar"
"A S T E O M.","CUIT","30-55982861-7","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","RIVADAVIA 1425",
"ASOCIACION NUESTRA SEÑORA DE LOURDES","CUIT","30-53868336-8","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","SAN JOSE 5041",
"ASOCIACION SINDICAL DE OBREROS Y EMPLEADOS DE LA MUNICIPALIDAD DE SANTA FE","CUIT","30-56040188-0","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","URQUIZA 1954",
"CONS. COCHERA AUTOBICA I","CUIT","30-71501351-3","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","1era Junta 2727",
"CONS. EDIF.  VIAJANTES 2","CUIT","30-60952965-9","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","25 De Mayo 1641",
"CONS. EDIF. ALONDRAS","Otro","-","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","Eva Perón 2639",
"CONS. EDIF. ARCO","CUIT","30-70984867-0","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","Corrientes 2651",
"CONS. EDIF. ATAHUALPA","CUIT","30-70720402-4","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","Urquiza 2202",
"CONS. EDIF. CAM XIX","CUIT","30-70862134-6","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","CORRIENTES 2608",
"CONS. EDIF. CENTAURO","CUIT","30-63432262-7","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","OBISPO GELABERT 2562",
"CONS. EDIF. CUMBRE","CUIT","30-59649535-0","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","SAN MARTIN 3249",
"CONS. EDIF. EL ATALAYA","CUIT","30-68700542-9","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","BELGRANO 2625",
"CONS. EDIF. GUEMES","CUIT","30-62169891-1","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","25 De Mayo 2025",
"CONS. EDIF. MIRADOR DEL LAGO","CUIT","30-70862135-4","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","CRUZ ROJA ARG 1556",
"CONS. EDIF. MUNDO IV","CUIT","30-68697125-9","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","Cortada Bustamante 2215",
"CONS. EDIF. PROA II","CUIT","30-67460357-2","IVA sujeto exento",,,,,"Santa Fe","Santa fe","3000","9 de Julio 3182",
