Nombre,TipoDoc,CUIT,Direccion,Email,Telefono,CondicionIVA,ItemsJSON
"LAS COLONIAS  DISTRIBUCIONES S. A.",80,"30540938322","E ZEBALLOS 3708 Santa fe Santa Fe","rrugna@armlascolonias.com.ar","","Responsable Inscripto","[]"
"A S T E O M.",80,"30559828617","RIVADAVIA 1425 Santa fe Santa Fe","","","Exento","[]"
"ASOCIACION NUESTRA SEÑORA DE LOURDES",80,"30538683368","SAN JOSE 5041 Santa fe Santa Fe","","","Exento","[]"
"ASOCIACION SINDICAL DE OBREROS Y EMPLEADOS DE LA MUNICIPALIDAD DE SANTA FE",80,"30560401880","URQUIZA 1954 Santa fe Santa Fe","","","Exento","[]"
"CONS. COCHERA AUTOBICA I",80,"30715013513","1era Junta 2727 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF.  VIAJANTES 2",80,"30609529659","25 De Mayo 1641 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. ALONDRAS",80,"","Eva Perón 2639 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. ARCO",80,"30709848670","Corrientes 2651 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. ATAHUALPA",80,"30707204024","Urquiza 2202 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. CAM XIX",80,"30708621346","CORRIENTES 2608 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. CENTAURO",80,"30634322627","OBISPO GELABERT 2562 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. CUMBRE",80,"30596495350","SAN MARTIN 3249 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. EL ATALAYA",80,"30687005429","BELGRANO 2625 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. GUEMES",80,"30621698911","25 De Mayo 2025 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. MIRADOR DEL LAGO",80,"30708621354","CRUZ ROJA ARG 1556 Santa fe Santa Fe","","","Exento","[]"
"CONS. EDIF. MUNDO IV",80,"30686971259","Cortada Bustamante 2215 Santa fe Santa Fe","","","Exento","[]"
